STATION,LOGNUM,WATERBODY,Town,SITEDIR,ECOREGION,BiophysicalRegion,HUC.EIGHT,Class,SAMPLEMETHOD,WIDTH,DEPTH,FLOW,THERMO,SPC,DO,I01,I02,I03,I04,I05,I06,I07,I08,I09,I11,I12,I13,I15,I17,I18,I19,I21,I23,I25,I26,I28,I30,PA1,PB1,PC1,PNA1,PABC,PNA,PAB,PCNA,PA,PBCNA
251,606,Rapid River,Richardsontown Twp,Below Upper Dam,w,Western Mountains,1040001,,Basket or Artificial Substrate,,40.6,36.3,20.4,,,478.667,14,0,2.333,2.168,5.32,0.269,0.286,169.333,155,1.75,0.001,0,0,0.005,7,0,0,166,2,0.143,0,0,0,0.146,0.853,0,1,0.001,0.999,0.002,0.998
8,609,St. John River,Fort Kent,Above Ft. Kent; .48 km above US/CAN bridge,e,Saint John Uplands,1010001,,Basket or Artificial Substrate,200,1,0.23,19.5,,,268.667,36,18.667,69.667,3.515,3.674,0.185,0.333,108,3,1.833,0.001,1,2.333,0.259,22,0,0.083,23.667,9.333,0.857,0.429,0.734,0.263,0.004,0,1,0,1,0,0.99,0.01
9,610,St. John River,Fort Kent,Below Ft. Kent POTW,e,Saint John Uplands,1010001,,Basket or Artificial Substrate,200,1,0.15,19.5,,,654.333,41,14,167.333,4.116,4.639,0.23,0.317,128.667,4.667,1.615,0.028,3.333,57.333,0.256,21,0,0.073,22,49.333,0.929,0.286,0.39,0.579,0.03,0,1,0,1,0,0.683,0.317
324,612,House Brook,Turner,Above Decoster Egg Farm,e,Central Interior,1040002,,Riffle Bags,,,7,16,73.5,,145,34,0,4.333,3.424,6.314,0.538,0.412,0,0,0.571,0,0,30.464,0.03,8,15.057,0,21.09,0.667,0.214,0,0,0.003,0.576,0.421,0.005,0.995,0,1,0.003,0.997
188,613,House Brook,Turner,Below Decoster Egg Farm,e,Central Interior,1040002,,Riffle Bags,8,20,6,16,94,,143.667,42,0.333,4.333,3.145,6.71,0.39,0.429,0,0.5,0.667,0.023,0,6.41,0.03,12,18.217,0,12.982,0.333,0.357,0,0.014,0.153,0.692,0.141,0.775,0.225,0.001,0.999,0.006,0.994
185,614,Lively Brook,Turner,"Below confluence with House Bk., below Decoster Egg Farm",e,Central Interior,1040002,,Riffle Bags,8,30,7,16,94.5,,227.333,47,5.333,12,4.213,5.548,0.682,0.532,1.2,8.8,0.64,0.001,0,43.615,0.053,16,22.143,0.021,41.008,7.667,0.5,0.286,0.335,0.557,0.108,0,1,0,0.921,0.079,0.319,0.681
15,615,Carrabassett River,Kingfield,3.2 km above Rt.16 bridge crossing,w,Western Mountains,1030003,,Basket or Artificial Substrate,20,45.7,41.3,17,67,,268.333,37,12.333,53,3.559,3.691,0.185,0.405,93.652,1.014,1.4,0,11.667,10.151,0.198,21,0,0.081,18.053,13.711,0.929,0.429,0.726,0.268,0.005,0,1,0,1,0,0.992,0.008
16,616,Carrabassett River,Kingfield,0.9 km below Rt. 16 bridge crossing,w,Western Mountains,1030003,,Basket or Artificial Substrate,35,45.7,20.3,16,54.8,,103,24,2.667,35.667,3.685,3.192,0.246,0.25,10.333,2,2.833,0,2.333,20.604,0.346,17,0.676,0.125,2.338,12.498,0.929,0.286,0.807,0.186,0.007,0,1,0,1,0,0.994,0.006
33,617,Wilson Stream,Wilton,0.3 km below Wilson Pond Outlet,w,Western Mountains,1030003,,Basket or Artificial Substrate,7.6,27.9,30,22,,7.5,483.333,24,5.333,149,3.068,4.003,0.29,0.458,86.747,34.919,1,0,5.333,6.333,0.308,11,0,0.083,36.253,18.889,0.5,0,0.28,0.641,0.079,0,1,0,0.986,0.014,0.033,0.967
34,618,Wilson Stream,Wilton,0.96 km below Wilton Tannery (closed) discharge,e,Western Mountains,1030003,,Basket or Artificial Substrate,15.2,30.5,28.5,19,,7.199999809,1661.333,67,19,383.333,3.673,4.576,0.321,0.418,443.098,203.165,1.071,0,19,75.081,0.231,30,0,0.045,242.735,204.668,1.214,0.571,0.4,0.588,0.012,0,1,0,1,0,0.956,0.044
19,619,Sandy River,Farmington,3.5 km below Rt. 43 bridge,e,Western Foothills,1030003,,Basket or Artificial Substrate,30,45.7,78,23,,12.10000038,4658.667,43,24,445.333,3.303,4.423,0.305,0.512,1460.82,661.847,0.909,0,18.667,201.313,0.096,20,1.351,0.093,796.956,150.316,0.929,0.714,0.012,0.426,0.562,0,1,0,0.112,0.888,0.606,0.394
74,620,Sheepscot River,Whitefield,Above Rt. 126 Bridge at USGS gage,e,Central Interior,1050003,,Basket or Artificial Substrate,30,45.7,52.5,25.2,53.8,7.400000095,1284,38,22.667,150.667,3.486,4.132,0.308,0.316,356.778,16.084,1.5,0,22.667,8.082,0.117,18,0,0.053,21.472,76.111,0.571,0.286,0.277,0.687,0.036,0,1,0,0.997,0.003,0.278,0.722
268,621,West Branch Sheepscot,China,Weeks Mills - 100ft upstrm of Dirigo Rd crossing,e,Central Interior,1050003,,Riffle Bags,8,25.4,6.6,23.5,56,8.399999619,64.667,41,12.667,22.667,4.224,3.417,0.155,0.293,1.333,0,1.333,0,12.667,1,0.351,16,0.333,0.024,3.667,23.238,0.5,0.143,0.949,0.051,0,0,1,0,1,0,0.993,0.007
75,622,Sheepscot River,Whitefield,Below Rt 194 Bridge in Whitefield,e,Central Interior,1050003,,Basket or Artificial Substrate,20,35.5,24.6,24.3,57,7.800000191,828.667,62,5,237.333,3.95,4.385,0.105,0.339,22.659,33.281,1.238,0,5,15.234,0.286,26,0,0.032,38.02,91.512,0.857,0.429,0.668,0.327,0.005,0,1,0,1,0,0.978,0.022
319,623,Sebasticook River,Palmyra,Below Hartland POTW ; Rt. 152,e,Central Interior,1030003,,Basket or Artificial Substrate,22.8,60.9,27.4,24.7,109.9,7.400000095,1709.333,36,2.667,440,3.46,4.632,0.218,0.306,214.882,364.8,1.636,0,2.667,56.201,0.257,18,0,0.056,375.505,259.577,0.786,0.143,0.097,0.702,0.201,0,1,0,0.975,0.025,0.029,0.971
319,624,Sebasticook River,Palmyra,Below Hartland POTW ; Rt. 152,e,Central Interior,1030003,,Cone,30.4,457.2,4,24,116.3,7.199999809,15.333,16,0,7,3.531,4.245,0.174,0.375,0.381,1.524,1.5,0,0,1,0.457,9,0,0,1.857,1.667,0.357,0,0.019,0.025,0.619,0.338,0.078,0.922,0.029,0.971,0.009,0.991
194,625,East Branch Sebasticook,Corinna,0.12 km below Eastland Woolen Mill,e,Central Interior,1030003,,Basket or Artificial Substrate,9.2,60.9,26.3,23.4,153.7,6.5,2433.333,68,0,153.333,3.047,5.479,0.419,0.426,399.88,403.454,0.586,0.001,0,867.765,0.063,17,3.373,0,464.688,33.323,0.571,0,0.001,0.027,0.961,0.011,1,0,0.003,0.997,0.003,0.997
90,626,East Branch Sebasticook,Corinna,60 m above Corinna POTW,e,Central Interior,1030003,,Basket or Artificial Substrate,7.6,45.7,27.4,23.3,154.1,7.199999809,742,43,0,257.667,3.045,4.125,0.118,0.419,295.402,12.265,0.833,0.001,0,23.176,0.347,15,0.336,0,26.036,135,0.357,0.143,0.006,0.054,0.935,0.005,1,0,0.013,0.987,0.011,0.989
20,627,East Branch Sebasticook,Corinna,0.13 km below Corinna POTW,e,Central Interior,1030003,,Basket or Artificial Substrate,7.6,30.4,28.6,23.2,161.1,7.400000095,321.667,42,0,71.667,3.679,4.338,0.307,0.595,96.487,4.18,0.4,0,0,15.102,0.223,10,0.671,0,36.398,45.333,0.357,0,0.01,0.05,0.934,0.005,1,0,0.002,0.998,0.004,0.996
30,628,Bond Brook,Augusta,24 m above I-95 overpass,e,Central Interior,1030003,,Basket or Artificial Substrate,10,22.8,17.5,17.5,138.1,7.599999905,362.333,42,4.333,70.667,3.852,5.337,0.339,0.429,59.5,7.792,1.111,0,4,46.459,0.195,20,0.668,0.048,18.153,27.588,0.643,0.143,0.234,0.633,0.133,0,1,0,0.979,0.021,0.111,0.889
31,629,Bond Brook,Augusta,40 m above Rt. 27 bridge crossing,e,Central Interior,1030003,,Basket or Artificial Substrate,6,60.9,38.4,17.1,218,8.199999809,497,64,3.333,46.667,3.988,5.5,0.41,0.547,87.391,13.942,0.543,0.001,3,45.667,0.094,19,2,0.016,40.609,14.14,0.5,0.143,0.364,0.575,0.06,0,1,0,0.986,0.014,0.16,0.84
253,630,Cobbosseecontee Stream,Gardiner,Below Rt. 126/9 bridge crossing,e,Central Interior,1030003,,Riffle Bags,20,45.7,33.4,25.3,82,7.800000191,850.667,35,0,132,3.682,5.933,0.497,0.371,84.59,46.525,1.077,0,0,310.312,0.155,14,282.224,0,132.128,46.667,0.357,0,0,0.005,0.99,0.004,1,0,0.001,0.999,0.003,0.997
254,631,Mill Stream,Norridgewock,Below Pion Rd. crossing,e,Western Foothills,1030003,,Riffle Bags,3,12.7,8.1,17,146,5.199999809,287,59,0,25.667,4.345,6.284,0.735,0.559,0.718,3.949,0.455,0.001,0,47.381,0.089,15,2.689,0,49.285,2,0.5,0,0.001,0.017,0.968,0.014,1,0,0.001,0.999,0.005,0.995
255,632,Cold Stream,Skowhegan,30 m below dam; below Rt. 201 crossing,e,Western Foothills,1030003,,Riffle Bags,3,12.7,6,22.4,306,6.5,146,33,0,79,2.649,4.48,0.107,0.455,8.403,31.931,0.733,0,0,2.437,0.541,11,0.348,0,33.323,72.985,0.5,0.286,0.01,0.054,0.886,0.05,0.999,0.001,0.015,0.985,0.045,0.955
199,633,St. Croix River,Baring,7.25 km below Woodland Dam and Georgia Pacific Corp.,e,Eastern Interior,1050001,,Basket or Artificial Substrate,,50,2.6,,,,806,47,13.333,59.333,2.831,4.117,0.131,0.298,413.43,27.382,1.5,0.003,13.333,9,0.074,21,0.333,0.043,31.048,9.663,0.786,0.429,0.409,0.57,0.021,0,1,0,0.998,0.002,0.837,0.163
297,634,Dennys River,Meddybemps,150 m below Meddybemps Lake,e,Eastern Interior,1050002,,Basket or Artificial Substrate,25,50,1.5,,,,888,33,0,42.667,3.182,5,0.143,0.333,246.928,88.287,1.091,0.003,0,12.258,0.048,12,2.724,0,93.735,25.333,0.357,0,0,0.009,0.952,0.038,0.999,0.001,0.001,0.999,0.003,0.997
298,635,China Lake Outlet Stream,Vassalboro,60 m below Lumber Yard at Rt. 32,e,Central Interior,1030003,,Riffle Bags,6,17.7,54.3,23.6,65,8.5,3778.667,36,0,180,1.494,4.177,0.046,0.333,2911.655,423.011,1.167,0,0,11.274,0.048,14,0,0,476.561,41.333,0.5,0,0,0,0.224,0.776,0,1,0.01,0.99,0.003,0.997
299,636,Sebasticook River,Benton,.18 km below dam,e,Central Interior,1030003,,Basket or Artificial Substrate,55,60.9,68,23.7,83,10.19999981,5236,49,10.667,288,3.685,4.499,0.301,0.408,1389.724,417.73,1.05,0,9.333,283.111,0.055,21,2.696,0.061,956.989,134.171,0.714,0.286,0.015,0.412,0.573,0,1,0,0.114,0.886,0.033,0.967
300,637,Sebasticook River,Burnham,90 m Below Burnham Dam,e,Central Interior,1030003,,Basket or Artificial Substrate,30.4,38.1,22.3,23,90,8.300000191,5082.667,57,2.667,290.667,2.497,4.83,0.041,0.281,204.652,3240.329,1.438,0,1.333,56.225,0.057,23,4,0.018,3243.369,76,0.643,0.143,0.115,0.802,0.083,0,1,0,0.987,0.013,0.015,0.985
174,638,Kennebec River,Skowhegan,1.7 km above Weston dam; 5.8 km below Norridgewok POTW,e,Western Foothills,1030003,,Cone,,640,12,21.7,33,9.199999809,42.5,23,0,7,3.935,6.372,0.6,0.391,2,1.5,1.222,0.012,0,4,0.165,11,2.5,0,11,1.5,0.357,0,0,0.002,0.746,0.252,0.181,0.819,0.001,0.999,0.005,0.995
22,639,Kennebec River,Madison,6.3 km below Anson-Madison POTW,e,Western Foothills,1030003,,Basket or Artificial Substrate,117,33,84,21,30,9.899999619,3121.333,32,17.333,481.333,2.993,3.077,0.12,0.344,152.767,10.484,1.818,0,16,111.71,0.154,20,0,0.094,10.484,65.406,0.786,0.429,0.38,0.609,0.011,0,1,0,1,0,0.829,0.171
196,640,Kennebec River,Benton,10.3 km below S.D. Warren Co.,e,Central Interior,1030003,,Basket or Artificial Substrate,182.8,60.9,68,23.7,66.4,10,3680,36,4,632,2.768,4.987,0.449,0.278,231.9,17.426,2,0,4,1569.333,0.172,20,6.667,0.056,32.093,19.175,0.714,0.429,0.028,0.702,0.269,0,1,0,0.937,0.063,0.22,0.78
301,641,Kimball Brook,South Portland,Below Stillman St. crossing,s,South Coastal Region,1060001,,Riffle Bags,0.6,12.7,28.2,13.3,100,7.099999905,1515,53,0,0,2.513,6.331,0.907,0.491,0.82,0,0.269,0.005,0,15.004,0,7,836.536,0,0,0,0,0,0,0,0,1,0,1,0,1,0.029,0.971
302,642,Trout Brook,South Portland,25m above Highland Ave. crossing,s,South Coastal Region,1060001,,Riffle Bags,1.2,15.2,20,13,792,7.099999905,627.667,14,0,0,0.625,4.067,0.031,0.357,3.667,0,1,0,0,0,0,5,2.667,0,0,0,0,0.143,0,0,0,1,0,1,0,1,0.083,0.917
303,643,Frost Gulley Brook,Freeport,Above,e,Midcoast Region,1060001,,Riffle Bags,2.1,22.8,9.9,16.4,224,8.100000381,118.667,47,0.333,18.667,4.726,3.698,0.239,0.383,12.895,1.105,0.944,0,0,9.667,0.157,17,5.667,0.021,1.105,9.667,0.429,0.286,0.847,0.141,0.012,0,1,0,0.998,0.002,0.989,0.011
304,644,Frost Gulley Brook,Freeport,Below,e,Midcoast Region,1060001,,Riffle Bags,3.6,142.9,12.6,15.8,240,7.400000095,113.333,65,0.667,6.667,4.883,4.397,0.432,0.508,15,2.667,0.727,0.015,0,25.171,0.059,24,5.37,0.031,4.009,2.667,0.714,0.286,0.874,0.119,0.006,0,1,0,1,0,0.995,0.005
305,645,Babel Brook,T5 R9 WELS,Above Rt. 11 crossing,e,Western Foothills,1020004,,Riffle Bags,,17.8,7.5,15.7,34,,78.333,34,13,27,4.07,2.771,0.038,0.206,15.193,2.12,3.286,0,3.667,1,0.345,23,0,0.206,2.453,2.556,1.071,0.429,0.967,0.033,0,0,1,0,1,0,1,0
306,646,Stinking Brook,T5 R9 WELS,Above Rt. 11 crossing,e,Western Foothills,1020004,,Riffle Bags,,17.9,7.8,21.6,27,,73.333,33,1.333,47.333,3.862,3.257,0.105,0.242,0.667,0,2.125,0,1,1.333,0.645,17,0.333,0.061,0,4.333,0.571,0.143,0.891,0.106,0.003,0,1,0,1,0,0.998,0.002
307,647,Ashworth Brook,T5 R9 WELS,Above Ebeemee Rd. crossing,w,Central Mountains,1020004,,Riffle Bags,,15.2,5.7,18.7,28,,50.333,33,6,25.333,4.358,2.754,0.046,0.182,2.692,1.538,3.833,0,0,0,0.503,23,0.333,0.121,2.205,1.333,0.786,0.286,0.973,0.027,0,0,1,0,1,0,0.999,0.001
308,648,Allen Stream,Exeter,Below Rt. 11/43 crossing; .35 km below Downing Rd.,e,Western Foothills,1020005,,Riffle Bags,,15.2,5.7,21.3,210,,381.667,44,5.333,249,3.188,3.234,0.034,0.295,57.466,6.867,1.615,0.001,4.667,0.667,0.652,21,2,0.068,7.2,40.291,0.857,0.143,0.832,0.166,0.001,0,1,0,1,0,0.977,0.023
309,649,Footman Brook,Exeter,Below Rt. 11/43 crossing;  at Stubbs Corner,e,Central Interior,1020005,,Riffle Bags,,15.2,6.1,22.1,173,,212.333,39,3,63.667,3.294,3.634,0.105,0.385,70.583,6.417,1.133,0,1.333,1.692,0.3,17,0,0.077,8.785,53.629,0.714,0.143,0.741,0.252,0.008,0,1,0,1,0,0.91,0.09
310,650,French Stream,Exeter,Tibbetts Rd. crossing;  8 km south of Stubbs Corner,e,Central Interior,1020005,,Riffle Bags,,15.2,13.1,20.7,182,,397,35,0.333,26.333,2.473,4.27,0.076,0.343,181.123,114.544,1.25,0,0,0.333,0.066,15,0.333,0.029,115.877,23,0.429,0,0.194,0.522,0.274,0.009,1,0,0.577,0.423,0.012,0.988
311,651,Pushaw Stream (Finson R),Bangor,Pushaw Rd.,e,Central Interior,1020005,,Riffle Bags,,15.2,,19.7,327,,18,12,0,0,3.419,3.214,0.222,0.333,1,3,1,0,0,0,0,4,0,0,3,0,0,0,0,0,0,1,0,1,0,1,0.004,0.996
312,652,Ohio Street Stream,Bangor,below Ohio Street crossing,e,Central Interior,1020005,,Riffle Bags,,15.2,17.3,25.3,370,,125,23,0,0.333,2.221,4.787,0.291,0.609,0,0.333,0.286,0.005,0,0.333,0.003,4,0.333,0,23.333,0,0.071,0,0,0,0.031,0.969,0,1,0,1,0.003,0.997
313,653,Valley Ave. Stream,Bangor,Below Valley Ave.; above Kenduskeag Bridge,e,Central Interior,1020005,,Riffle Bags,,,,28.8,568,,23,17,0,0,3.771,4.684,0.087,0.353,0,0,0.667,0.109,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.029,0.971
314,654,Meadow Brook,Bangor,Below I-95 crossing,e,Central Interior,1020005,,Riffle Bags,1.5,62.5,9.8,23.2,698,,490.333,33,0.333,2.333,2.395,4.095,0.014,0.152,301.478,28.856,2.8,0.001,0.333,1,0.005,14,0,0.03,33.189,0.667,0.429,0,0.16,0.344,0.234,0.262,0.33,0.67,0.275,0.725,0.015,0.985
315,655,Meadow Brook,Bangor,Above Rt 2 crossing,e,Central Interior,1020005,,Riffle Bags,,,,,,,198.667,28,0.667,5.333,3.445,3.276,0.064,0.286,32.786,21.214,1.25,0.005,0.667,0,0.027,10,0,0.036,22.214,0.667,0.143,0.143,0.714,0.255,0.03,0.001,1,0,0.967,0.033,0.646,0.354
316,656,Cole Brook,Gray,Above,w,Southwest Interior,1060001,,Riffle Bags,1.9,10.1,36.6,14.8,83,7.099999905,252.333,49,18.667,116.333,4.395,3.567,0.247,0.49,4,0.667,0.75,0,0,2.011,0.461,18,4.357,0.061,3.348,15.333,0.714,0.286,0.89,0.109,0.001,0,1,0,1,0,0.996,0.004
317,657,Cole Brook,Gray,Below Weymouth Rd. crossing,e,Southwest Interior,1060001,,Riffle Bags,1.8,12.7,36.5,16,178,7.599999905,687.333,88,25.333,44.333,4.602,4.041,0.379,0.5,119.731,18.542,0.523,0.014,0,43.445,0.065,23,41.439,0.057,19.545,3,0.857,0.286,0.934,0.066,0,0,1,0,1,0,0.998,0.002
247,658,Androscoggin River,Jay,Middle Jay  impoundment,e,Western Foothills,1040002,,Basket or Artificial Substrate,,,,,,,183,18,8,54,3.469,4.849,0.366,0.389,2,21,1.286,0,8,9,0.295,9,9,0.056,49,58,0.286,0.143,0.224,0.621,0.155,0,1,0,0.626,0.374,0.035,0.965
263,659,Androscoggin River,Jay,"Lower Jay impoundment, below IP mill",e,Western Foothills,1040002,,Basket or Artificial Substrate,,,,,,,147,19,2,27,3.665,4.74,0.116,0.158,1,29,3.667,0.007,2,0,0.184,11,0,0.053,45,12,0.5,0.286,0.285,0.522,0.192,0.001,1,0,0.72,0.28,0.235,0.765
82,660,Androscoggin River,Jay,"Upper Otis impoundment, below IP mill",e,Western Foothills,1040002,,Basket or Artificial Substrate,999,,,,,,516,23,1,47,2.657,4.98,0.062,0.261,1,224,1.833,0.223,0,4,0.091,11,4,0.043,228,43,0.286,0.143,0.072,0.512,0.412,0.003,1,0,0.076,0.924,0.009,0.991
265,661,Androscoggin River,Jay,"Lower Otis impoundment, below IP mill",e,Western Foothills,1040002,,Basket or Artificial Substrate,999,,,,,,73,14,0,5,2.748,4.727,0.027,0.071,0,12,6,0.014,0,0,0.068,6,0,0,12,1,0.286,0,0.001,0.004,0.205,0.79,0,1,0,1,0.004,0.996
247,662,Androscoggin River,Jay,Middle Jay  impoundment,e,Western Foothills,1040002,,Basket or Artificial Substrate,,,,,,,394,30,12,150,2.892,4.504,0.057,0.4,7.5,75.5,1.25,0,11.5,0.5,0.381,15,0.5,0.1,79,141.5,0.571,0.143,0.379,0.588,0.034,0,1,0,0.996,0.004,0.157,0.843
263,663,Androscoggin River,Jay,"Lower Jay impoundment, below IP mill",e,Western Foothills,1040002,,Basket or Artificial Substrate,,,,,,,43.5,18,0,8.5,3.906,3.959,0.034,0.167,2.5,3.5,2.667,0.011,0,1,0.195,8,0,0,3.5,4,0.214,0.143,0.039,0.044,0.728,0.19,0.525,0.475,0.008,0.992,0.018,0.982
82,664,Androscoggin River,Jay,"Upper Otis impoundment, below IP mill",e,Western Foothills,1040002,,Basket or Artificial Substrate,999,,,,,,309,19,0,107,2.304,4.651,0.055,0.474,0,129,0.667,0,0,0,0.346,6,3,0,130,104,0.143,0.143,0.001,0.016,0.942,0.042,1,0,0,1,0.004,0.996
265,665,Androscoggin River,Jay,"Lower Otis impoundment, below IP mill",e,Western Foothills,1040002,,Basket or Artificial Substrate,999,,,,,,23,11,0,0.5,2.964,4.933,0,0.091,0,3.5,4,0,0,0,0.022,4,0,0,3.5,0,0.071,0,0,0,0.009,0.991,0,1,0,1,0.005,0.995
325,666,Presumpscot River,Windham,Below Dundee Dam,s,Southwest Interior,1060001,,Basket or Artificial Substrate,20,700,,20,,,1344.667,36,0,109,2.918,5.498,0.03,0.361,17.081,477.125,0.769,0.018,0,5.333,0.081,10,4,0,482.125,108,0.286,0,0,0.012,0.97,0.018,1,0,0,1,0.001,0.999
326,667,Presumpscot River,Windham,Gambo Impoundment,s,Southwest Interior,1060001,,Basket or Artificial Substrate,10,250,,22,,,222.333,36,0,38.667,3.432,5.639,0.031,0.25,2.564,42.564,1.333,0.009,0,0,0.174,12,0,0,43.564,34,0.357,0,0.001,0.016,0.901,0.081,0.989,0.011,0.003,0.997,0.003,0.997
327,668,Presumpscot River,Windham,Below Gambo Dam,s,South Coastal Region,1060001,,Basket or Artificial Substrate,5,200,,21,,,892.333,50,0,125,3.875,5.314,0.012,0.24,5.289,44.072,1.333,0.068,0,1.667,0.14,16,0.667,0,47.072,105.333,0.357,0,0.005,0.045,0.944,0.007,1,0,0.004,0.996,0.003,0.997
328,669,Presumpscot River,Windham,Little Falls Impoundment,s,South Coastal Region,1060001,,Basket or Artificial Substrate,30,200,,23,,,286,41,0,20,4.214,5.917,0.094,0.293,0.667,1.333,0.833,0.038,0,4.667,0.07,10,0.667,0,4.667,17.333,0.143,0,0.001,0.012,0.948,0.04,0.996,0.004,0,1,0.004,0.996
329,670,Presumpscot River,Windham,Below Little Falls Dam,s,South Coastal Region,1060001,,Basket or Artificial Substrate,10,200,,22,,,2733,53,0,673,3.533,3.661,0.029,0.321,38.315,214.022,0.941,0.013,0,2.384,0.246,16,4.667,0,223.897,517.333,0.286,0,0.053,0.217,0.73,0,1,0,0.031,0.969,0.002,0.998
320,673,Canon Brook,Bar Harbor,Above Rt. 3 crossing,e,East Coastal Region,1050002,,Basket or Artificial Substrate,2.5,50,5,15,53.4,9.100000381,9.667,8,0,5.667,2.481,6.087,0.172,0.25,0,0,2.5,0,0,0,0.586,5,1.25,0,0.417,0,0.214,0,0,0,0.075,0.925,0,1,0.001,0.999,0.012,0.988
321,674,Hunter Brook,Mount Desert,Above Rt. 3 crossing; Park Loop Road,e,East Coastal Region,1050002,,Basket or Artificial Substrate,2.5,50,5,15.8,59.2,9.100000381,54.333,23,0.667,43,2.51,4.592,0.129,0.348,0.333,0,1.75,0,0,0,0.791,14,1.105,0.087,1.842,0,0.643,0.286,0.367,0.466,0.163,0.005,1,0,0.993,0.007,0.723,0.277
322,675,Duck Brook,Bar Harbor,New Eagle Lake Rd.,e,East Coastal Region,1050002,,Basket or Artificial Substrate,4.5,20.3,6,17.5,46.3,8.199999809,59.667,30,3,26,3.919,5.072,0.274,0.267,0,0,1.375,0,3,7.298,0.436,11,0,0.033,2.78,8.899,0.571,0.286,0.497,0.425,0.078,0,1,0,0.994,0.006,0.783,0.217
323,676,Stanley Brook,Tremont,Above Rt. 3; Park Loop Road,e,East Coastal Region,1050002,,Basket or Artificial Substrate,3,,14,14.1,88.3,10.10000038,121.333,43,3.667,60,4.081,3.903,0.25,0.395,3.667,0,1.176,0,0,0.682,0.495,20,9.884,0.07,0,0,0.714,0.429,0.827,0.169,0.004,0,1,0,1,0,1,0
143,677,Mare Brook,Brunswick,,e,Midcoast Region,1060001,,Basket or Artificial Substrate,2.5,55,13,16,,,354,58,15,74.333,4.157,4.949,0.035,0.293,0,0.333,1.235,0.014,0,1.814,0.21,21,1.029,0.034,2.147,66,0.571,0.143,0.742,0.255,0.004,0,1,0,1,0,0.911,0.089
144,678,Mare Brook,Brunswick,Below BNAS; 50 m above New Gurnet Rd. crossing,e,Midcoast Region,1060001,,Basket or Artificial Substrate,1,45,65,17,,,146,41,0.333,0.667,3.99,5.713,0.201,0.463,18.333,4.667,0.579,0.03,0,2.388,0.005,11,9.388,0.024,6.031,0.333,0.214,0,0.089,0.23,0.527,0.153,0.763,0.237,0.005,0.995,0.008,0.992
330,679,Mare Brook,Brunswick,Below Picnic Pond,e,Midcoast Region,1060001,,Basket or Artificial Substrate,1,17,18,17,,,2096,32,0,0,3.039,5.565,0.444,0.469,0,545.333,0.333,0.003,0,6.813,0,5,144.203,0,569.86,0,0,0,0,0,0,1,0,1,0,1,0.001,0.999
331,680,Mare Brook,Brunswick,Below Emergency Pt. Runway,e,Midcoast Region,1060001,,Basket or Artificial Substrate,1.5,36,38,16,,,1873.333,52,2.667,34.667,3.46,4.983,0.54,0.346,161.333,3,1.222,0.02,0.333,13.333,0.019,22,90.333,0.038,24.667,26.667,0.643,0.143,0.136,0.719,0.144,0,1,0,0.884,0.116,0.056,0.944
332,681,Mare Brook,Brunswick,Golf Course Drainage,e,Midcoast Region,1060001,,Riffle Bags,0.8,8,,20,,,272,31,0,0,3.753,4.397,0.164,0.452,1.333,15.667,0.286,0.097,0,9,0,4,11.333,0,18.333,0,0,0,0,0,0.001,0.999,0,1,0,1,0.003,0.997
318,682,Piscataquis River,Howland,Above dam,e,Eastern Lowlands,1020004,,Cone,,411,,,,,148.667,35,1.333,42,4.002,5.286,0.543,0.371,0,0.333,0.923,0,1.333,38.158,0.283,12,16.736,0.057,16.4,1,0.5,0,0.238,0.527,0.234,0,1,0,0.57,0.43,0.035,0.965
251,683,Rapid River,Richardsontown Twp,Below Upper Dam,w,Western Mountains,1040001,,Basket or Artificial Substrate,100,1,63.5,19.3,,,381,16,0,0,2.204,4.297,0.066,0.5,183.333,62.333,0.625,0,0,1,0,5,1.333,0,74.333,0,0,0,0,0,0,1,0,1,0,1,0.002,0.998
250,684,Rapid River,Township C,Below Middle Dam,w,Western Mountains,1040001,,Basket or Artificial Substrate,30,39,118.9,22.5,,,3393,19,24,77.667,1.359,4.204,0.075,0.316,2519.33,0,1.833,0,24,0.667,0.023,11,0,0.105,0,4.637,0.571,0.429,0,0.021,0.851,0.128,0.852,0.148,0.001,0.999,0.687,0.313
333,685,Kennebec River,T1 R6 WELS,.3 km below Harris Dam,w,Central Mountains,1030001,,Basket or Artificial Substrate,20,45,,20,,,585,15,10.333,9,1.569,4.301,0.067,0.333,410.348,92.319,1.8,0,10.333,0,0.015,9,0,0.133,96.319,7.75,0.357,0.143,0.077,0.616,0.269,0.037,1,0,0.16,0.84,0.014,0.986
334,686,Kennebec River,T1 R6 WELS,.45 km below Harris Dam,w,Central Mountains,1030001,,Basket or Artificial Substrate,25,82,,20.4,,,173.333,15,7,3.667,1.726,4.211,0.088,0.4,121.651,14.682,1.5,0,7,0,0.021,9,0,0.133,17.015,6.556,0.357,0.143,0.262,0.578,0.12,0.039,0.999,0.001,0.763,0.237,0.072,0.928
335,687,Kennebec River,T1 R6 WELS,Below Harris Dam; above Carry Brook,w,Central Mountains,1030001,,Basket or Artificial Substrate,65,45,,20,,,237.667,16,17.667,3.667,2.567,4.464,0.142,0.25,98.222,49.111,2.5,0,17.667,0,0.015,10,0,0.125,54.111,9.52,0.429,0.143,0.281,0.623,0.09,0.006,1,0,0.843,0.157,0.073,0.927
